Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
397 19.85 0.0514029 0.0509266 0.00105504
398 19.9 0.0511653 0.0506912 0.00104531
399 19.95 0.0509288 0.050457 0.00103566
400 20 0.0506934 0.0502238 0.0010261
401 20.05 0.0504592 0.0499918 0.00101663
402 20.1 0.050226 0.0497608 0.00100725
403 20.15 0.049994 0.049531 0.000997961
404 20.2 0.049763 0.0493022 0.000988755
405 20.25 0.0495332 0.0490745 0.000979635
406 20.3 0.0493044 0.0488479 0.0009706
407 20.35 0.0490767 0.0486223 0.00096165
408 20.4 0.04885 0.0483978 0.000952782
409 20.45 0.0486245 0.0481744 0.000943998
410 20.5 0.0484 0.047952 0.000935295
411 20.55 0.0481765 0.0477307 0.000926673
412 20.6 0.0479541 0.0475104 0.000918131
413 20.65 0.0477328 0.0472911 0.000909669
414 20.7 0.0475124 0.0470728 0.000901286
415 20.75 0.0472932 0.0468556 0.000892981
416 20.8 0.0470749 0.0466394 0.000884753
417 20.85 0.0468577 0.0464243 0.000876601
418 20.9 0.0466415 0.0462101 0.000868526
419 20.95 0.0464263 0.0459969 0.000860525
420 21 0.0462121 0.0457848 0.000852599
421 21.05 0.045999 0.0455736 0.000844746
422 21.1 0.0457868 0.0453634 0.000836967
423 21.15 0.0455756 0.0451542 0.000829259
424 21.2 0.0453654 0.044946 0.000821624
425 21.25 0.0451562 0.0447388 0.000814059
426 21.3 0.044948 0.0445325 0.000806565
427 21.35 0.0447408 0.0443272 0.00079914
428 21.4 0.0445345 0.0441229 0.000791784
429 21.45 0.0443292 0.0439195 0.000784496
430 21.5 0.0441248 0.0437171 0.000777276
431 21.55 0.0439214 0.0435156 0.000770123
432 21.6 0.043719 0.0433151 0.000763037
433 21.65 0.0435175 0.0431155 0.000756016
434 21.7 0.043317 0.0429168 0.00074906
435 21.75 0.0431174 0.0427191 0.000742169
436 21.8 0.0429187 0.0425223 0.000735342
437 21.85 0.0427209 0.0423264 0.000728578
438 21.9 0.0425241 0.0421314 0.000721876
439 21.95 0.0423282 0.0419373 0.000715237
440 22 0.0421332 0.0417442 0.00070866
441 22.05 0.0419392 0.0415519 0.000702143
442 22.1 0.041746 0.0413606 0.000695687
443 22.15 0.0415537 0.0411701 0.00068929
444 22.2 0.0413624 0.0409805 0.000682953
445 22.25 0.0411719 0.0407918 0.000676674
446 22.3 0.0409823 0.040604 0.000670454
447 22.35 0.0407936 0.0404171 0.000664291
448 22.4 0.0406058 0.040231 0.000658185
449 22.45 0.0404188 0.0400458 0.000652136
450 22.5 0.0402328 0.0398615 0.000646143
451 22.55 0.0400476 0.039678 0.000640205
452 22.6 0.0398632 0.0394954 0.000634322
453 22.65 0.0396798 0.0393137 0.000628494
454 22.7 0.0394971 0.0391327 0.000622719
455 22.75 0.0393154 0.0389527 0.000616998
456 22.8 0.0391344 0.0387734 0.00061133
457 22.85 0.0389544 0.038595 0.000605714
458 22.9 0.0387751 0.0384175 0.000600151
459 22.95 0.0385967 0.0382407 0.000594638
460 23 0.0384191 0.0380648 0.000589177
461 23.05 0.0382424 0.0378897 0.000583766
462 23.1 0.0380664 0.0377154 0.000578405
463 23.15 0.0378913 0.0375419 0.000573093
464 23.2 0.037717 0.0373693 0.000567831
465 23.25 0.0375435 0.0371974 0.000562617
466 23.3 0.0373709 0.0370263 0.000557452
467 23.35 0.037199 0.036856 0.000552334
468 23.4 0.0370279 0.0366866 0.000547263
469 23.45 0.0368576 0.0365179 0.00054224
470 23.5 0.0366882 0.03635 0.000537262
471 23.55 0.0365195 0.0361828 0.000532331
472 23.6 0.0363515 0.0360165 0.000527445
473 23.65 0.0361844 0.0358509 0.000522604
474 23.7 0.036018 0.0356861 0.000517808
475 23.75 0.0358525 0.0355221 0.000513056
476 23.8 0.0356876 0.0353588 0.000508348
477 23.85 0.0355236 0.0351963 0.000503684
478 23.9 0.0353603 0.0350345 0.000499062
479 23.95 0.0351978 0.0348735 0.000494483
480 24 0.035036 0.0347132 0.000489947
